11:34:35.819 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
11:34:35.823 INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 4 ms
11:34:51.776 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
11:34:51.792 INFO  com.test.api.todo.TodoApplication - Starting TodoApplication using Java 11.0.16.1 on DESKTOP-4CURANV with PID 7064 (C:\Users\wpghk\IdeaProjects\todo\build\classes\java\main started by wpghk in C:\Users\wpghk\IdeaProjects\todo)
11:34:51.793 INFO  com.test.api.todo.TodoApplication - The following 1 profile is active: "local"
11:34:51.837 INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
11:34:52.752 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
11:34:52.768 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 8 ms. Found 0 JPA repository interfaces.
11:34:53.135 INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.ws.config.annotation.DelegatingWsConfiguration' of type [org.springframework.ws.config.annotation.DelegatingWsConfiguration$$EnhancerBySpringCGLIB$$1b8fd1b2] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
11:34:53.167 INFO  o.s.w.s.a.s.AnnotationActionEndpointMapping - Supporting [WS-Addressing August 2004, WS-Addressing 1.0]
11:34:53.598 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
11:34:53.608 INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
11:34:53.609 INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
11:34:53.609 INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.76]
11:34:53.744 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring embedded WebApplicationContext
11:34:53.744 INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1906 ms
11:34:53.917 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
11:34:53.969 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
11:34:54.311 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
11:34:54.505 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
11:34:54.846 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
11:34:54.861 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.PostgreSQLDialect
11:34:55.102 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
11:34:55.113 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
11:34:55.725 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@42c1c826, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@da9c8c5, org.springframework.security.web.context.SecurityContextPersistenceFilter@1e5e487, org.springframework.security.web.header.HeaderWriterFilter@3ecdc7e0, org.springframework.security.web.authentication.logout.LogoutFilter@2b86953f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7429c8e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@df204d7, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@25ad9c7, org.springframework.security.web.session.SessionManagementFilter@46c81ab8, org.springframework.security.web.access.ExceptionTranslationFilter@16238e66, org.springframework.security.web.access.intercept.AuthorizationFilter@17db1f84]
11:34:55.729 WARN  o.s.s.c.a.web.builders.WebSecurity - You are asking Spring Security to ignore Ant [pattern='/resources/**']. This is not recommended -- please use permitAll via HttpSecurity#authorizeHttpRequests instead.
11:34:55.729 INFO  o.s.s.web.DefaultSecurityFilterChain - Will not secure Ant [pattern='/resources/**']
11:34:55.885 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
11:34:56.135 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
11:34:56.154 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path '/api/v1'
11:34:56.198 INFO  com.test.api.todo.TodoApplication - Started TodoApplication in 4.941 seconds (JVM running for 5.428)
11:35:12.322 INFO  o.a.c.c.C.[.[localhost].[/api/v1] - Initializing Spring DispatcherServlet 'dispatcherServlet'
11:35:12.322 INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
